 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
   139    -0.000069658    -0.000667594      0.000000000     0.000000052
   140     0.000039310    -0.000675130      0.000000006     0.000000045
   141    -0.000083663    -0.000679363      0.000000014    -0.000000272
   142    -0.000082134    -0.000666198      0.000000007     0.000000019
   143    -0.000095585    -0.000678785      0.000000005     0.000000022
   144     0.000053249    -0.000675460     -0.000000003    -0.000000034
   145    -0.000109159    -0.000678033      0.000000010    -0.000000201
   146     0.000067355    -0.000675688     -0.000000018     0.000000004
   147    -0.000122541    -0.000677482      0.000000014    -0.000000007
   148    -0.000136171    -0.000677007      0.000000028    -0.000000093
   149    -0.000150975    -0.000788198     -0.000000013     0.000000089
   150    -0.000150706    -0.000774073     -0.000000002     0.000000268
   151    -0.000150542    -0.000760110      0.000000034    -0.000000030
   152    -0.000150586    -0.000746267      0.000000036     0.000000030
   153    -0.000150534    -0.000732354     -0.000000020    -0.000000171
   154    -0.000150413    -0.000718415     -0.000000017    -0.000000007
   155    -0.000150352    -0.000704527      0.000000040     0.000000007
   156    -0.000150314    -0.000690637     -0.000000020    -0.000000093
   157    -0.000150227    -0.000676604     -0.000000009    -0.000000071
   158    -0.000058974    -0.000654880      0.000000008    -0.000000045
   159    -0.000048229    -0.000656246      0.000000004    -0.000000022
   160    -0.000037558    -0.000657746     -0.000000017    -0.000000298
   161    -0.000069514    -0.000653612     -0.000000005     0.000000015
   162    -0.000026801    -0.000658749     -0.000000008     0.000000104
   163    -0.000015821    -0.000659267     -0.000000011    -0.000000034
   164    -0.000002365    -0.000659726      0.000000003     0.000000004
   165     0.000011216    -0.000660162     -0.000000006    -0.000000075
   166     0.000025045    -0.000660611     -0.000000007     0.000000026
   167     0.000038899    -0.000661052     -0.000000030     0.000000022
   168    -0.000082377    -0.000652266     -0.000000020    -0.000000045
   169     0.000053083    -0.000661447      0.000000020     0.000000108
   170    -0.000095751    -0.000664963      0.000000014    -0.000000164
   171    -0.000095414    -0.000651262     -0.000000008     0.000000052
   172    -0.000108884    -0.000664244     -0.000000026     0.000000007
   173     0.000067297    -0.000661677      0.000000007    -0.000000011
   174    -0.000122317    -0.000663619     -0.000000020     0.000000075
   175    -0.000136119    -0.000663035      0.000000026    -0.000000138
   176    -0.000150100    -0.000662621      0.000000004    -0.000000063
   177    -0.000164651    -0.000788295      0.000000019 -9749.999999985
   178    -0.000164622    -0.000774346     -0.000000024 ***************
   179    -0.000164595    -0.000760394     -0.000000041 ***************
   180    -0.000164568    -0.000746436     -0.000000024 ***************
   181    -0.000164537    -0.000732468      0.000000026 ***************
   182    -0.000164501    -0.000718490     -0.000000003 ***************
   183    -0.000164456    -0.000704502      0.000000022 ***************
   184    -0.000164400    -0.000690505     -0.000000006 ***************
   185    -0.000164329    -0.000676500      0.000000019 ***************
