 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1    -0.000025411    -0.000783982      0.000000002     0.000000015
     2    -0.000002324    -0.000783949      0.000000017     0.000000000
     3    -0.000048486    -0.000784046     -0.000000004     0.000000000
     4    -0.000002635    -0.000760648     -0.000000007    -0.000000142
     5    -0.000047995    -0.000761087     -0.000000006    -0.000000022
     6    -0.000025158    -0.000760691     -0.000000002    -0.000000007
     7     0.000020786    -0.000783939      0.000000015     0.000000022
     8     0.000020312    -0.000760572     -0.000000005    -0.000000067
     9    -0.000071560    -0.000784144     -0.000000014     0.000000015
    10    -0.000071053    -0.000761315     -0.000000007    -0.000000089
    11    -0.000025158    -0.000737363      0.000000003     0.000000156
    12    -0.000002653    -0.000737058     -0.000000003     0.000000089
    13     0.000020199    -0.000737100     -0.000000020     0.000000045
    14    -0.000070741    -0.000738397     -0.000000008     0.000000082
    15    -0.000047832    -0.000738023      0.000000032     0.000000060
    16     0.000043920    -0.000783941     -0.000000020     0.000000067
    17     0.000043694    -0.000760717      0.000000012     0.000000119
    18     0.000043331    -0.000737368     -0.000000008     0.000000156
    19    -0.000094647    -0.000784274      0.000000008    -0.000000045
    20    -0.000094037    -0.000761453     -0.000000001    -0.000000007
    21    -0.000093644    -0.000738636     -0.000000008    -0.000000179
    22    -0.000025517    -0.000714086     -0.000000001     0.000000015
    23    -0.000002979    -0.000713671     -0.000000003    -0.000000030
    24    -0.000048121    -0.000714897     -0.000000004     0.000000060
    25     0.000019732    -0.000713555      0.000000010     0.000000112
    26     0.000043047    -0.000713818     -0.000000001    -0.000000060
    27    -0.000070733    -0.000715541      0.000000006     0.000000104
    28    -0.000093546    -0.000715897     -0.000000012    -0.000000060
    29     0.000067069    -0.000783942      0.000000000     0.000000015
    30     0.000067071    -0.000760792     -0.000000001     0.000000037
    31     0.000067072    -0.000737626     -0.000000015    -0.000000030
    32     0.000067063    -0.000714434     -0.000000010    -0.000000007
    33    -0.000117757    -0.000784426      0.000000001     0.000000030
    34    -0.000117376    -0.000761506     -0.000000007    -0.000000127
    35    -0.000117060    -0.000738661      0.000000022    -0.000000007
    36    -0.000116720    -0.000715832     -0.000000011    -0.000000007
    37    -0.000048351    -0.000691827      0.000000019     0.000000112
    38    -0.000025831    -0.000690986      0.000000005    -0.000000037
    39    -0.000003143    -0.000690397     -0.000000001     0.000000134
    40     0.000019733    -0.000690220      0.000000003    -0.000000022
    41    -0.000070954    -0.000692666      0.000000022    -0.000000007
    42     0.000043057    -0.000690548      0.000000003    -0.000000007
    43     0.000067029    -0.000691216      0.000000001     0.000000007
    44    -0.000093537    -0.000693174     -0.000000007     0.000000015
    45    -0.000116731    -0.000693049     -0.000000032     0.000000019
    46    -0.000140891    -0.000784590     -0.000000008     0.000000030
    47    -0.000140620    -0.000761523     -0.000000014     0.000000022
    48    -0.000140431    -0.000738557     -0.000000009     0.000000142
    49    -0.000140065    -0.000715637     -0.000000007     0.000000000
    50    -0.000140293    -0.000692572     -0.000000016    -0.000000078
    51    -0.000048819    -0.000668731     -0.000000010     0.000000242
    52    -0.000026060    -0.000667857     -0.000000014    -0.000000071
    53    -0.000071228    -0.000669536      0.000000014    -0.000000015
    54    -0.000003357    -0.000667180      0.000000001     0.000000034
    55     0.000019475    -0.000666959      0.000000020     0.000000075
    56     0.000042682    -0.000667123      0.000000005    -0.000000026
    57    -0.000093718    -0.000670286     -0.000000001     0.000000048
    58     0.000066958    -0.000667974     -0.000000020    -0.000000048
    59    -0.000116803    -0.000670116      0.000000005    -0.000000011
    60    -0.000140156    -0.000669560     -0.000000034     0.000000056
    61    -0.000164040    -0.000784755     -0.000000013 ***************
    62    -0.000163993    -0.000761604      0.000000034 ***************
    63    -0.000163946    -0.000738439      0.000000006 ***************
    64    -0.000163887    -0.000715247     -0.000000018 ***************
    65    -0.000163805    -0.000692028      0.000000014 ***************
    66    -0.000163686    -0.000668787     -0.000000007 ***************
    67    -0.000048967    -0.000645638     -0.000000005    -0.000000078
    68    -0.000026382    -0.000644595      0.000000015    -0.000000037
    69    -0.000071318    -0.000646608     -0.000000005    -0.000000075
    70    -0.000003522    -0.000643961     -0.000000009    -0.000000101
    71    -0.000094007    -0.000647067     -0.000000025    -0.000000063
    72     0.000019263    -0.000643566     -0.000000003     0.000000004
    73     0.000042120    -0.000643605      0.000000008    -0.000000041
    74     0.000066840    -0.000644719      0.000000003    -0.000000015
    75    -0.000116709    -0.000647120      0.000000011    -0.000000019
    76    -0.000139954    -0.000646440     -0.000000018    -0.000000089
    77    -0.000163520    -0.000645532     -0.000000009 ***************
    78    -0.000049012    -0.000622589     -0.000000008     0.000000004
    79    -0.000026475    -0.000621471      0.000000004     0.000000004
    80    -0.000071497    -0.000623395      0.000000024     0.000000082
