 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1    -0.000070257    -0.000766124     -0.000000012     0.000000000
     2    -0.000025091    -0.000765961      0.000000008    -0.000000022
     3    -0.000115469    -0.000766398      0.000000012    -0.000000007
     4    -0.000024602    -0.000720950      0.000000007     0.000000045
     5    -0.000115125    -0.000721459      0.000000022     0.000000075
     6    -0.000069935    -0.000721259     -0.000000021     0.000000000
     7     0.000020121    -0.000765911     -0.000000013     0.000000052
     8     0.000020492    -0.000720538     -0.000000019    -0.000000060
     9    -0.000160764    -0.000766720     -0.000000002 ***************
    10    -0.000160663    -0.000721394     -0.000000004 ***************
    11    -0.000069969    -0.000676517      0.000000003     0.000000011
    12    -0.000024186    -0.000676366     -0.000000006    -0.000000011
    13     0.000020704    -0.000675147      0.000000011    -0.000000089
    14    -0.000160512    -0.000675977     -0.000000004 ***************
    15    -0.000115334    -0.000675984      0.000000001     0.000000179
    16     0.000065416    -0.000765908      0.000000002    -0.000000007
    17     0.000065413    -0.000720582      0.000000016    -0.000000007
    18     0.000065359    -0.000675165     -0.000000009     0.000000022
    19    -0.000069872    -0.000631131      0.000000009    -0.000000026
    20    -0.000024262    -0.000631284     -0.000000000     0.000000007
    21    -0.000114829    -0.000630720      0.000000013    -0.000000015
    22     0.000020539    -0.000629715     -0.000000016    -0.000000019
    23     0.000065162    -0.000629666     -0.000000012     0.000000034
    24    -0.000160216    -0.000630478     -0.000000010 ***************
    25    -0.000069509    -0.000585583     -0.000000006     0.000000000
    26    -0.000024431    -0.000585905     -0.000000010     0.000000022
    27    -0.000114070    -0.000585343     -0.000000013     0.000000045
    28     0.000020124    -0.000584237      0.000000011    -0.000000123
    29    -0.000159692    -0.000584971     -0.000000008 ***************
    30     0.000064736    -0.000584159      0.000000008    -0.000000026
    31    -0.000069146    -0.000540201      0.000000004    -0.000000015
    32    -0.000024638    -0.000540427      0.000000008    -0.000000011
    33    -0.000113779    -0.000539957     -0.000000012     0.000000153
    34     0.000019546    -0.000538806     -0.000000008    -0.000000048
    35    -0.000158864    -0.000539564      0.000000007 ***************
    36     0.000064004    -0.000538752     -0.000000007    -0.000000019
    37    -0.000068813    -0.000495004     -0.000000001    -0.000000007
    38    -0.000024697    -0.000495490      0.000000002    -0.000000052
    39    -0.000112945    -0.000494771      0.000000005    -0.000000078
    40     0.000018779    -0.000493555     -0.000000006     0.000000078
    41    -0.000157652    -0.000494395      0.000000001 ***************
    42     0.000062890    -0.000493583      0.000000009    -0.000000026
    43    -0.000068418    -0.000450127      0.000000002    -0.000000015
    44    -0.000025054    -0.000450486      0.000000003     0.000000071
    45    -0.000111856    -0.000449935      0.000000020     0.000000019
    46     0.000017756    -0.000448667     -0.000000005    -0.000000052
    47    -0.000155981    -0.000449631      0.000000006 ***************
    48     0.000061316    -0.000448820      0.000000002     0.000000004
    49    -0.000067925    -0.000405774      0.000000005    -0.000000019
    50    -0.000025869    -0.000405239     -0.000000007     0.000000030
    51    -0.000110455    -0.000405651      0.000000019     0.000000015
    52     0.000016416    -0.000404349      0.000000003    -0.000000030
    53    -0.000153775    -0.000405472      0.000000017 ***************
    54     0.000059206    -0.000404665     -0.000000006    -0.000000015
    55    -0.000067319    -0.000362182     -0.000000007     0.000000019
    56    -0.000026434    -0.000361574     -0.000000009    -0.000000015
    57    -0.000108687    -0.000362152      0.000000003     0.000000004
    58     0.000014705    -0.000360820     -0.000000010     0.000000063
    59    -0.000150954    -0.000362146     -0.000000003 ***************
    60     0.000056486    -0.000361345      0.000000006    -0.000000022
    61    -0.000066626    -0.000319061      0.000000005     0.000000035
    62    -0.000027145    -0.000318872      0.000000007     0.000000045
    63    -0.000106498    -0.000319686      0.000000007    -0.000000067
    64     0.000012565    -0.000318293     -0.000000006     0.000000011
    65    -0.000147440    -0.000319914      0.000000009 ***************
    66     0.000053082    -0.000319123      0.000000007    -0.000000024
    67    -0.000065700    -0.000277559     -0.000000004     0.000000026
    68    -0.000028019    -0.000277339     -0.000000005     0.000000017
    69    -0.000103824    -0.000278517      0.000000000     0.000000034
    70     0.000009931    -0.000276962      0.000000005    -0.000000006
    71    -0.000143148    -0.000279072      0.000000006 ***************
    72     0.000048925    -0.000278280      0.000000003    -0.000000009
    73    -0.000064510    -0.000237539      0.000000000    -0.000000039
    74    -0.000029062    -0.000237213      0.000000008    -0.000000004
    75    -0.000100517    -0.000238597     -0.000000012     0.000000006
    76     0.000006722    -0.000237457      0.000000005    -0.000000017
    77    -0.000137992    -0.000239959     -0.000000004 ***************
    78     0.000043947    -0.000239124     -0.000000005     0.000000000
    79    -0.000062748    -0.000198354      0.000000002    -0.000000041
    80    -0.000030123    -0.000198037      0.000000007     0.000000045
    81    -0.000096243    -0.000199939     -0.000000009     0.000000020
