 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
    99   156.488842799    49.490866227     -0.000000000    -0.000000000
   100   159.771933308    49.812945392     -0.000000000     0.000000000
   101   163.421252277    50.062665477      0.000000000    -0.000000000
   102   167.379471062    50.441886449      0.000000000    -0.000000000
   103     0.000000000     0.000000000     -0.379831139    -2.199632243
   104     1.203322664     2.064474975     -0.000000000    -0.000000000
   105     2.704157853     4.237236231     -0.000000000    -0.000000000
   106     4.309125382     6.449520667     -0.000000000    -0.000000000
   107     5.963994384     8.604767783     -0.000000000    -0.000000000
   108     7.696348723    10.689680092     -0.000000000    -0.000000000
   109     9.526101154    12.706664190     -0.000000000    -0.000000000
   110    11.468288851    14.661028683     -0.000000000    -0.000000000
   111    13.532808029    16.557200118     -0.000000000    -0.000000000
   112    15.726180261    18.398248170     -0.000000000    -0.000000000
   113    18.052573575    20.186035672     -0.000000000    -0.000000000
   114    20.514509113    21.921468849     -0.000000000    -0.000000000
   115    23.113308363    23.604707710     -0.000000000     0.000000000
   116    25.849378271    25.235319057     -0.000000000    -0.000000000
   117    28.722381837    26.812380106     -0.000000000    -0.000000000
   118    31.731322501    28.334545832     -0.000000000     0.000000000
   119    34.874558312    29.800093155     -0.000000000    -0.000000000
   120    38.149757329    31.206954404     -0.000000000     0.000000000
   121    41.553806250    32.552751807     -0.000000000     0.000000000
   122    45.082688430    33.834843777      0.000000000    -0.000000000
   123    48.731353973    35.050391828      0.000000000    -0.000000000
   124    52.493611901    36.196453619     -0.000000000     0.000000000
   125    56.362080958    37.270102452     -0.000000000    -0.000000000
   126    60.328239889    38.268566641     -0.000000000    -0.000000000
   127    64.382619152    39.189373785     -0.000000000     0.000000000
   128    68.515174485    40.030475740     -0.000000000    -0.000000000
   129    72.715881071    40.790320286     -0.000000000    -0.000000000
   130    76.975591575    41.467824679      0.000000000     0.000000000
   131    81.287219454    42.062193283     -0.000000000     0.000000000
   132    85.647379181    42.572504339      0.000000000     0.000000000
   133    90.058670003    42.996998270      0.000000000    -0.000000000
   134    94.533437809    43.332069866     -0.000000000     0.000000000
   135    99.097843798    43.572360268     -0.000000000     0.000000000
   136   103.805011641    43.715366303     -0.000000000    -0.000000000
   137   108.676055942    43.824067187     -0.000000000    -0.000000000
   138   113.572191557    43.981669217     -0.000000000    -0.000000000
   139   118.229712134    44.197777049     -0.000000000    -0.000000000
   140   122.516919423    44.408097622     -0.000000000    -0.000000000
   141   126.468875506    44.567689660      0.000000000    -0.000000000
   142   130.159082203    44.695676182     -0.000000000    -0.000000000
   143   133.639919780    44.812128161      0.000000000     0.000000000
   144   136.955107330    44.933024026     -0.000000000     0.000000000
   145   140.143070671    45.069773043     -0.000000000     0.000000000
   146   143.240098039    45.229845801     -0.000000000    -0.000000000
   147   146.282295597    45.417026812     -0.000000000    -0.000000000
   148   149.307418406    45.631124391     -0.000000000    -0.000000000
   149   152.357842407    45.866873449     -0.000000000    -0.000000000
   150   155.484029753    46.112742787      0.000000000    -0.000000000
   151   158.761574242    46.351144868      0.000000000     0.000000000
   152   162.233239105    46.627132360      0.000000000    -0.000000000
   153   165.707324833    47.016760594      0.000000000    -0.000000000
   154     0.000000000     0.000000000     -0.314521226    -1.916831006
   155     1.006639482     1.783542564     -0.000000000    -0.000000000
   156     2.314189136     3.653158318     -0.000000000     0.000000000
   157     3.808465336     5.573382478     -0.000000000     0.000000000
   158     5.424498304     7.497952704     -0.000000000    -0.000000000
   159     7.145361781     9.390619301      0.000000000    -0.000000000
   160     8.976604888    11.237969017     -0.000000000    -0.000000000
   161    10.926076196    13.035791326      0.000000000    -0.000000000
   162    13.000742313    14.783466048     -0.000000000    -0.000000000
   163    15.205764586    16.481416791      0.000000000     0.000000000
   164    17.544686956    18.130166585     -0.000000000    -0.000000000
   165    20.019737168    19.730005152      0.000000000     0.000000000
   166    22.632107379    21.280896477      0.000000000    -0.000000000
   167    25.382164641    22.782469685      0.000000000    -0.000000000
   168    28.269590719    24.234031359     -0.000000000    -0.000000000
   169    31.293454897    25.634575798      0.000000000     0.000000000
   170    34.452223832    26.982786960     -0.000000000    -0.000000000
   171    37.743712979    28.277034271     -0.000000000    -0.000000000
   172    41.164987159    29.515369114     -0.000000000    -0.000000000
   173    44.712223846    30.695531334     -0.000000000     0.000000000
   174    48.380560902    31.814975618      0.000000000     0.000000000
   175    52.163959839    32.870925932      0.000000000    -0.000000000
   176    56.055124216    33.860461826     -0.000000000    -0.000000000
   177    60.045518703    34.780633520     -0.000000000     0.000000000
   178    64.125535814    35.628593959      0.000000000     0.000000000
   179    68.284854125    36.401727254     -0.000000000    -0.000000000
   180    72.513025396    37.097746663      0.000000000     0.000000000
   181    76.800321657    37.714735698      0.000000000     0.000000000
   182    81.138873961    38.251120827     -0.000000000     0.000000000
   183    85.524124611    38.705619607     -0.000000000    -0.000000000
   184    89.956639975    39.077358373     -0.000000000     0.000000000
   185    94.443779411    39.366926186      0.000000000    -0.000000000
   186    99.000861167    39.579978232     -0.000000000    -0.000000000
   187   103.638434643    39.741105166     -0.000000000    -0.000000000
   188   108.328785427    39.895427132     -0.000000000    -0.000000000
   189   112.975869822    40.088989069     -0.000000000    -0.000000000
   190   117.445301831    40.329916628      0.000000000    -0.000000000
   191   121.648400437    40.588137651     -0.000000000     0.000000000
   192   125.571930105    40.833683328      0.000000000    -0.000000000
   193   129.247568232    41.055789691      0.000000000     0.000000000
   194   132.717771631    41.260858370     -0.000000000     0.000000000
   195   136.022307688    41.458207633     -0.000000000     0.000000000
   196   139.198662829    41.656150863      0.000000000     0.000000000
   197   142.283047027    41.860672394     -0.000000000    -0.000000000
   198   145.311761208    42.075084505     -0.000000000    -0.000000000
   199   148.322644400    42.299966003      0.000000000     0.000000000
   200   151.356419824    42.533754646     -0.000000000     0.000000000
   201   154.458341240    42.775385688      0.000000000    -0.000000000
   202   157.665853254    43.038854590     -0.000000000    -0.000000000
   203   160.965394159    43.357437586     -0.000000000    -0.000000000
   204   164.255515691    43.745892633     -0.000000000    -0.000000000
   205     0.000000000     0.000000000     -0.274035243    -1.686140934
   206     0.878312240     1.563000580      0.000000000     0.000000000
   207     2.046658616     3.188233641      0.000000000     0.000000000
   208     3.433837150     4.862307470      0.000000000     0.000000000
   209     4.986119137     6.557412629     -0.000000000    -0.000000000
   210     6.675933574     8.247003119      0.000000000    -0.000000000
